2026-02-10 01:56:29.317 | INFO     | services.agent_engine:_load_persona:35 - Loaded Persona: Tiryaq
2026-02-10 01:56:29.927 | INFO     | services.agent_engine:process_request:84 - Processing Request: تجربة صوتية
2026-02-10 01:56:30.401 | ERROR    | services.agent_engine:process_request:141 - Pipeline Error: 404 Not Found. {'message': '{\n  "error": {\n    "code": 404,\n    "message": "models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",\n    "status": "NOT_FOUND"\n  }\n}\n', 'status': 'Not Found'}
2026-02-10 01:56:46.116 | INFO     | services.agent_engine:_load_persona:35 - Loaded Persona: Tiryaq
2026-02-10 01:56:46.736 | INFO     | services.agent_engine:process_request:84 - Processing Request: تجربة صوتية
2026-02-10 01:56:47.166 | ERROR    | services.agent_engine:process_request:141 - Pipeline Error: 404 Not Found. {'message': '{\n  "error": {\n    "code": 404,\n    "message": "models/gemini-2.0-flash-exp is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",\n    "status": "NOT_FOUND"\n  }\n}\n', 'status': 'Not Found'}
2026-02-10 01:57:20.469 | INFO     | services.agent_engine:_load_persona:35 - Loaded Persona: Tiryaq
2026-02-10 01:57:21.121 | INFO     | services.agent_engine:process_request:84 - Processing Request: تجربة صوتية
2026-02-10 01:57:21.885 | ERROR    | services.agent_engine:process_request:141 - Pipeline Error: 404 Not Found. {'message': '{\n  "error": {\n    "code": 404,\n    "message": "models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",\n    "status": "NOT_FOUND"\n  }\n}\n', 'status': 'Not Found'}
2026-02-10 01:57:35.651 | INFO     | services.agent_engine:_load_persona:35 - Loaded Persona: Tiryaq
2026-02-10 01:57:36.262 | INFO     | services.agent_engine:process_request:84 - Processing Request: تجربة صوتية
2026-02-10 01:57:37.417 | ERROR    | services.agent_engine:process_request:141 - Pipeline Error: 404 Not Found. {'message': '{\n  "error": {\n    "code": 404,\n    "message": "models/gemini-1.5-pro-latest is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",\n    "status": "NOT_FOUND"\n  }\n}\n', 'status': 'Not Found'}
2026-02-10 01:57:54.842 | INFO     | services.agent_engine:_load_persona:35 - Loaded Persona: Tiryaq
2026-02-10 01:57:55.441 | INFO     | services.agent_engine:process_request:84 - Processing Request: تجربة صوتية
2026-02-10 01:57:55.821 | ERROR    | services.agent_engine:process_request:141 - Pipeline Error: 404 Not Found. {'message': '{\n  "error": {\n    "code": 404,\n    "message": "models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",\n    "status": "NOT_FOUND"\n  }\n}\n', 'status': 'Not Found'}
